0x485AC 			Setting: Memory Clock Speed, Variable: 0x31F {05 91 08 04 09 04 D8 01 00 50 1F 03 10 10 14 FF 00}
0x485BD 				Option: Auto, Value: 0xFF (default) {09 07 1A 00 10 00 FF}
0x485C4 				Option: 667MHz, Value: 0x14 {09 07 0A 04 00 00 14}
0x485CB 				Option: 800MHz, Value: 0x18 {09 07 0B 04 00 00 18}
0x485D2 				Option: 933MHz, Value: 0x1C {09 07 0C 04 00 00 1C}
0x485D9 				Option: 1067MHz, Value: 0x20 {09 07 0D 04 00 00 20}
0x485E0 				Option: 1200MHz, Value: 0x24 {09 07 0E 04 00 00 24}
0x485E7 				Option: 1333MHz, Value: 0x28 {09 07 0F 04 00 00 28}
0x485EE 				Option: 1367MHz, Value: 0x29 {09 07 10 04 00 00 29}
0x485F5 				Option: 1400MHz, Value: 0x2A {09 07 11 04 00 00 2A}
0x485FC 				Option: 1433MHz, Value: 0x2B {09 07 12 04 00 00 2B}
0x48603 				Option: 1467MHz, Value: 0x2C {09 07 13 04 00 00 2C}
0x4860A 				Option: 1500MHz, Value: 0x2D {09 07 14 04 00 00 2D}
0x48611 				Option: 1533MHz, Value: 0x2E {09 07 15 04 00 00 2E}
0x48618 				Option: 1567MHz, Value: 0x2F {09 07 16 04 00 00 2F}
0x4861F 				Option: 1600MHz, Value: 0x30 {09 07 17 04 00 00 30}
0x48626 				Option: 1633MHz, Value: 0x31 {09 07 18 04 00 00 31}
0x4862D 				Option: 1667MHz, Value: 0x32 {09 07 19 04 00 00 32}
0x48634 				Option: 1700MHz, Value: 0x33 {09 07 1A 04 00 00 33}
0x4863B 				Option: 1733MHz, Value: 0x34 {09 07 1B 04 00 00 34}
0x48642 				Option: 1767MHz, Value: 0x35 {09 07 1C 04 00 00 35}
0x48649 				Option: 1800MHz, Value: 0x36 {09 07 1D 04 00 00 36}
0x48650 				Option: 1833MHz, Value: 0x37 {09 07 1E 04 00 00 37}
0x48657 				Option: 1867MHz, Value: 0x38 {09 07 1F 04 00 00 38}
0x4865E 				Option: 1900MHz, Value: 0x39 {09 07 20 04 00 00 39}
0x48665 				Option: 1933MHz, Value: 0x3A {09 07 21 04 00 00 3A}
0x4866C 				Option: 1967MHz, Value: 0x3B {09 07 22 04 00 00 3B}
0x48673 				Option: 2000MHz, Value: 0x3C {09 07 23 04 00 00 3C}
0x4867A 				Option: 2033MHz, Value: 0x3D {09 07 24 04 00 00 3D}
0x48681 				Option: 2067MHz, Value: 0x3E {09 07 25 04 00 00 3E}
0x48688 				Option: 2100MHz, Value: 0x3F {09 07 26 04 00 00 3F}
0x4868F 				Option: 2133MHZ, Value: 0x40 {09 07 27 04 00 00 40}
0x48696 				Option: 2167MHZ, Value: 0x41 {09 07 28 04 00 00 41}
0x4869D 				Option: 2200MHZ, Value: 0x42 {09 07 29 04 00 00 42}
0x486A4 				Option: 2233MHZ, Value: 0x43 {09 07 2A 04 00 00 43}
0x486AB 				Option: 2267MHZ, Value: 0x44 {09 07 2B 04 00 00 44}
0x486B2 				Option: 2300MHZ, Value: 0x45 {09 07 2C 04 00 00 45}
0x486B9 				Option: 2333MHZ, Value: 0x46 {09 07 2D 04 00 00 46}
0x486C0 				Option: 2367MHZ, Value: 0x47 {09 07 2E 04 00 00 47}
0x486C7 				Option: 2400MHZ, Value: 0x48 {09 07 2F 04 00 00 48}
0x486CE 				Option: 2433MHZ, Value: 0x49 {09 07 30 04 00 00 49}
0x486D5 				Option: 2467MHZ, Value: 0x4A {09 07 31 04 00 00 4A}
0x486DC 				Option: 2500MHZ, Value: 0x4B {09 07 32 04 00 00 4B}
0x486E3 				Option: 2550MHZ, Value: 0x4C {09 07 33 04 00 00 4C}
0x486EA 				Option: 2600MHZ, Value: 0x4D {09 07 34 04 00 00 4D}
0x486F1 				Option: 2650MHZ, Value: 0x4E {09 07 35 04 00 00 4E}
0x486F8 				Option: 2700MHZ, Value: 0x4F {09 07 36 04 00 00 4F}
0x486FF 				Option: 2750MHZ, Value: 0x50 {09 07 37 04 00 00 50}
0x48706 				Option: 2800MHZ, Value: 0x51 {09 07 38 04 00 00 51}
0x4870D 				Option: 2850MHZ, Value: 0x52 {09 07 39 04 00 00 52}
0x48714 				Option: 2900MHZ, Value: 0x53 {09 07 3A 04 00 00 53}
0x4871B 				Option: 2950MHZ, Value: 0x54 {09 07 3B 04 00 00 54}
0x48722 				Option: 3000MHZ, Value: 0x55 {09 07 3C 04 00 00 55}
0x48729 				Option: 3200MHZ, Value: 0x59 {09 07 3D 04 00 00 59}
